TaskID,Unnamed: 3,Unnamed: 4
1010101,拾取散落在地上的基因块1次,家园内拾取ObjectType为{0}的垃圾{1}次
1010102,在基因库激活1次<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1010201,前往<color=#4df7ff>孵化器</color>，进行1次孵化,孵化{0}次
10102011,拾取散落在地上的基因块2次,家园内拾取ObjectType为{0}的垃圾{1}次
10102012,基因库累计激活2个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
10102013,进行1次孵化,孵化{0}次
1010202,修复农田,拥有{0}个{1}级建筑Type为{2}的建筑
1010301,委任宠物至农田,任意Type为{0}的建筑上有{1}只宠物
1010302,拾取散落在地上的基因块2次,家园内拾取ObjectType为{0}的垃圾{1}次
1010303,基因库累计激活4个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1010401,刚改的，显示有Bug！！去农田收获,孵化{0}次
1010402,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1010403,使用经验果实为宠物升级,拥有{0}个{1}级宠物
10104031,1只宠物耕种达到C,拥有{0}个属性{1}评级达到{2}的宠物
1010404,生命引擎达到2级,拥有{0}个{1}级建筑Type为{2}的建筑
10104041,收服1只流浪的宠物,家园内拾取ObjectType为{0}的垃圾{1}次
10104042,拥有2只5级宠物,拥有{0}个{1}级宠物
10104043,1只宠物伐木达到C,拥有{0}个属性{1}评级达到{2}的宠物
1010501,修复伐木场,拥有{0}个{1}级建筑Type为{2}的建筑
1010502,委任宠物至伐木场,任意Type为{0}的建筑上有{1}只宠物
1010503,拾取散落在地上的基因块2次,家园内拾取ObjectType为{0}的垃圾{1}次
1010504,基因库累计激活6个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1010601,进行1次孵化,孵化{0}次
1010602,在伐木场收获1次木材,建筑Type为{0}的建筑收获{1}个ID为{2}道具
1010603,农田达到2级,拥有{0}个{1}级建筑Type为{2}的建筑
1010604,委任2只宠物至农田,任意Type为{0}的建筑上有{1}只宠物
1010605,拥有1只10级宠物,拥有{0}个{1}级宠物
1010701,进行1次进化,进化{0}次
1010702,拾取散落在地上的基因块3次,家园内拾取ObjectType为{0}的垃圾{1}次
1010703,基因库累计激活8个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
10107031,拥有3只5级宠物,拥有{0}个{1}级宠物
10107032,1只宠物采矿达到C,拥有{0}个属性{1}评级达到{2}的宠物
1010801,修复矿井,拥有{0}个{1}级建筑Type为{2}的建筑
1010802,委任宠物至矿井,任意Type为{0}的建筑上有{1}只宠物
1010803,生命引擎达到3级,拥有{0}个{1}级建筑Type为{2}的建筑
1010901,修复探险码头I,拥有{0}个{1}级建筑Type为{2}的建筑
1010902,完成1次探险并领取奖励,在节点{0}进行{1}次探险
10109021,拥有4只5级宠物,拥有{0}个{1}级宠物
10109022,1只宠物分析达到C,拥有{0}个属性{1}评级达到{2}的宠物
1010903,修复分析室,拥有{0}个{1}级建筑Type为{2}的建筑
1010904,分析1个源石并领取产物,分析{0}个女娲石
1010905,基因库累计激活10个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1011001,进行1次孵化,孵化{0}次
1011002,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1011003,喂食任意宠物1次,喂养宠物{0}次
1011004,拥有2只10级宠物,拥有{0}个{1}级宠物
1011101,进行1次进化,进化{0}次
10111011,1只宠物耕种达到B,拥有{0}个属性{1}评级达到{2}的宠物
1011102,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1011103,喂食任意宠物1次,喂养宠物{0}次
1011104,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1011105,分析1个源石并领取产物,分析{0}个女娲石
1011201,基因库累计激活12个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1011202,拥有1个2级伐木场,拥有{0}个{1}级建筑Type为{2}的建筑
1011203,生命引擎达到4级,拥有{0}个{1}级建筑Type为{2}的建筑
1011301,进行1次孵化,孵化{0}次
1011302,拥有2个农田,拥有{0}个{1}级建筑Type为{2}的建筑
1011303,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1011304,喂食任意宠物1次,喂养宠物{0}次
1011305,拥有1只15级宠物,拥有{0}个{1}级宠物
10113051,1只宠物伐木达到B,拥有{0}个属性{1}评级达到{2}的宠物
1011306,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1011401,基因库累计激活14个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质等级为Lv{2}的能力基因
1011402,分析1个源石并领取产物,分析{0}个女娲石
1011403,基因库累计激活16个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1011404,在伐木场收获1次木材,建筑Type为{0}的建筑收获{1}个ID为{2}道具
1011405,拥有1个3级农田,拥有{0}个{1}级建筑Type为{2}的建筑
1011501,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1011502,喂食任意宠物1次,喂养宠物{0}次
1011503,拥有3只10级宠物,拥有{0}个{1}级宠物
10115031,1只宠物采矿达到B,拥有{0}个属性{1}评级达到{2}的宠物
1011601,进行1次进化,进化{0}次
1011602,探险码头达到2级,拥有{0}个{1}级建筑Type为{2}的建筑
1011603,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1011604,在伐木场收获1次木材,建筑Type为{0}的建筑收获{1}个ID为{2}道具
1011605,矿井达到3级,拥有{0}个{1}级建筑Type为{2}的建筑
1011606,在矿井，收获1次金币,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1011701,基因库累计激活18个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质等级为Lv{2}的能力基因
10117011,1只宠物分析达到B,拥有{0}个属性{1}评级达到{2}的宠物
1011702,拥有1个2级分析室,拥有{0}个{1}级建筑Type为{2}的建筑
1011703,分析1个源石并领取产物,分析{0}个女娲石
1011704,基因库累计激活20个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1011705,生命引擎达到5级,拥有{0}个{1}级建筑Type为{2}的建筑
1011801,进行1次孵化,孵化{0}次
1011802,拥有1个4级伐木场,拥有{0}个{1}级建筑Type为{2}的建筑
1011803,在伐木场收获1次木材,建筑Type为{0}的建筑收获{1}个ID为{2}道具
1011804,拥有1个4级农田,拥有{0}个{1}级建筑Type为{2}的建筑
1011805,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1011901,喂食任意宠物1次,喂养宠物{0}次
1011902,拥有1只20级宠物,拥有{0}个{1}级宠物
10119021,1只宠物耕种达到A,拥有{0}个属性{1}评级达到{2}的宠物
1011903,解锁第2个探险码头,拥有{0}个{1}级建筑Type为{2}的建筑
1011904,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1011905,拥有2个矿井,拥有{0}个{1}级建筑Type为{2}的建筑
1011906,在矿井，收获1次金币,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012001,基因库累计激活22个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质等级为Lv{2}的能力基因
1012002,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012003,喂食任意宠物1次,喂养宠物{0}次
1012004,拥有4只10级宠物,拥有{0}个{1}级宠物
10120041,1只宠物伐木达到A,拥有{0}个属性{1}评级达到{2}的宠物
1012101,进行1次进化,进化{0}次
1012102,拥有1个3级探险码头,拥有{0}个{1}级建筑Type为{2}的建筑
1012103,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1012104,分析1个源石并领取产物,分析{0}个女娲石
1012105,基因库累计激活24个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1012201,拥有1个5级矿井,拥有{0}个{1}级建筑Type为{2}的建筑
1012202,生命引擎达到6级,拥有{0}个{1}级建筑Type为{2}的建筑
1012301,进行1次孵化,孵化{0}次
1012302,拥有1个5级伐木场,拥有{0}个{1}级建筑Type为{2}的建筑
